Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
486,Bryan Ruiz,FW,cr Costa Rica,28.0,1985,5,5,492,5.5,2,0,2,2,0,0,1,0,fa6292e2,0.0,0.37,0.37,0.37,0.37
487,Mathew Ryan,GK,au Australia,22.0,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,4535e4bb,0.0,0.0,0.0,0.0,0.0
488,Bacary Sagna,DF,fr France,31.0,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,6ef56efd,0.0,0.0,0.0,0.0,0.0
489,Mamadou Sakho,DF,fr France,24.0,1990,4,4,286,3.2,0,0,0,0,0,0,0,0,87935cf3,0.0,0.0,0.0,0.0,0.0
490,Carlos Salcido,DF,mx Mexico,34.0,1980,2,1,91,1.0,0,0,0,0,0,0,0,0,190bc058,0.0,0.0,0.0,0.0,0.0
491,Sejad Salihović,DF,ba Bosnia–Herz,29.0,1984,2,0,45,0.5,0,0,0,0,0,0,0,0,a4e14205,0.0,0.0,0.0,0.0,0.0
492,Edgar Salli,FW,cm Cameroon,21.0,1992,2,0,49,0.5,0,0,0,0,0,0,1,0,41d1fbc6,0.0,0.0,0.0,0.0,0.0
493,Dimitris Salpingidis,FW,gr Greece,32.0,1981,4,3,224,2.5,0,0,0,0,0,0,1,0,c55257e3,0.0,0.0,0.0,0.0,0.0
494,Georgios Samaras,FW,gr Greece,29.0,1985,4,4,390,4.3,1,1,2,0,1,1,1,0,1b77cb6a,0.23,0.46,0.23,0.0,0.23
495,Andreas Samaris,MF,gr Greece,25.0,1989,2,1,136,1.5,1,0,1,1,0,0,1,0,5af687a1,0.0,0.66,0.66,0.66,0.66
496,Aleksandr Samedov,MF,ru Russia,29.0,1984,3,3,269,3.0,0,0,0,0,0,0,0,0,44c3d1d2,0.0,0.0,0.0,0.0,0.0
497,Sammir,FW,hr Croatia,27.0,1987,1,1,71,0.8,0,0,0,0,0,0,0,0,4ba410e6,0.0,0.0,0.0,0.0,0.0
498,Alexis Sánchez,FW,cl Chile,25.0,1988,4,4,390,4.3,2,1,3,2,0,0,0,0,2c0f8e9e,0.23,0.69,0.46,0.46,0.69
499,Carlos Sánchez,DF,co Colombia,28.0,1986,4,4,360,4.0,0,0,0,0,0,0,1,0,50b51fac,0.0,0.0,0.0,0.0,0.0
